-150,69.5, DENSITY ,1070,1.17, NAMERICA
-149.5,65, DENSITY ,1294,1.2, NAMERICA
-149.5,65.5, DENSITY ,1270,1.2, NAMERICA
-149.5,66, DENSITY ,1245,1.2, NAMERICA
-149.5,66.5, DENSITY ,1220,1.2, NAMERICA
-149.5,67, DENSITY ,1195,1.16, NAMERICA
-149.5,67.5, DENSITY ,1171,1.16, NAMERICA
-149.5,68, DENSITY ,1146,1.47, NAMERICA
-149.5,68.5, DENSITY ,1120,1.47, NAMERICA
-149.5,69, DENSITY ,1095,1.17, NAMERICA
-149.5,69.5, DENSITY ,1070,1.17, NAMERICA
-149,65, DENSITY ,1294,1.2, NAMERICA
-149,65.5, DENSITY ,1270,1.2, NAMERICA
-149,66, DENSITY ,1245,1.2, NAMERICA
-149,66.5, DENSITY ,1220,1.2, NAMERICA
-149,67, DENSITY ,1195,1.16, NAMERICA
-149,67.5, DENSITY ,1171,1.16, NAMERICA
-149,68, DENSITY ,1146,1.47, NAMERICA
-149,68.5, DENSITY ,1120,1.47, NAMERICA
-149,69, DENSITY ,1095,1.17, NAMERICA
-149,69.5, DENSITY ,1070,1.17, NAMERICA
-148.5,65, DENSITY ,1294,1.2, NAMERICA
-148.5,65.5, DENSITY ,1270,1.21, NAMERICA
-148.5,66, DENSITY ,1245,1.2, NAMERICA
-148.5,66.5, DENSITY ,1220,1.2, NAMERICA
-148.5,67, DENSITY ,1195,1.16, NAMERICA
-148.5,67.5, DENSITY ,1171,1.16, NAMERICA
-148.5,68, DENSITY ,1146,1.16, NAMERICA
-148.5,68.5, DENSITY ,1120,1.47, NAMERICA
-148.5,69, DENSITY ,1095,1.17, NAMERICA
-148.5,69.5, DENSITY ,1070,1.17, NAMERICA
-148,65, DENSITY ,1294,1.2, NAMERICA
-148,65.5, DENSITY ,1270,1.21, NAMERICA
-148,66, DENSITY ,1245,1.2, NAMERICA
-148,66.5, DENSITY ,1220,1.2, NAMERICA
-148,67, DENSITY ,1195,1.16, NAMERICA
-148,67.5, DENSITY ,1171,1.16, NAMERICA
-148,68, DENSITY ,1146,1.16, NAMERICA
-148,68.5, DENSITY ,1120,1.47, NAMERICA
-148,69, DENSITY ,1095,1.17, NAMERICA
-148,69.5, DENSITY ,1070,1.17, NAMERICA
-147.5,65, DENSITY ,1294,1.2, NAMERICA
-147.5,65.5, DENSITY ,1270,1.21, NAMERICA
-147.5,66, DENSITY ,1245,1.2, NAMERICA
-147.5,66.5, DENSITY ,1220,1.2, NAMERICA
-147.5,67, DENSITY ,1195,1.2, NAMERICA
-147.5,67.5, DENSITY ,1171,1.2, NAMERICA
-147.5,68, DENSITY ,1146,1.16, NAMERICA
-147.5,68.5, DENSITY ,1120,1.47, NAMERICA
-147.5,69, DENSITY ,1095,1.17, NAMERICA
-147.5,69.5, DENSITY ,1070,1.17, NAMERICA
-147,65, DENSITY ,1294,1.2, NAMERICA
-147,65.5, DENSITY ,1270,1.13, NAMERICA
-147,66, DENSITY ,1245,1.2, NAMERICA
-147,66.5, DENSITY ,1220,1.2, NAMERICA
-147,67, DENSITY ,1195,1.2, NAMERICA
-147,67.5, DENSITY ,1171,1.2, NAMERICA
-147,68, DENSITY ,1146,1.16, NAMERICA
-147,68.5, DENSITY ,1120,1.47, NAMERICA
-147,69, DENSITY ,1095,1.47, NAMERICA
-147,69.5, DENSITY ,1070,1.47, NAMERICA
-146.5,65, DENSITY ,1294,1.2, NAMERICA
-146.5,65.5, DENSITY ,1270,1.13, NAMERICA
-146.5,66, DENSITY ,1245,1.2, NAMERICA
-146.5,66.5, DENSITY ,1220,1.2, NAMERICA
-146.5,67, DENSITY ,1195,1.2, NAMERICA
-146.5,67.5, DENSITY ,1171,1.2, NAMERICA
