-150.5,68.5, ELEV ,1120,613, NAMERICA 
-150.5,69, ELEV ,1095,217, NAMERICA 
-150.5,69.5, ELEV ,1070,135, NAMERICA 
-150,65, ELEV ,1294,637, NAMERICA 
-150,65.5, ELEV ,1270,322, NAMERICA 
-150,66, ELEV ,1245,410, NAMERICA 
-150,66.5, ELEV ,1220,843, NAMERICA 
-150,67, ELEV ,1195,1016, NAMERICA 
-150,67.5, ELEV ,1171,1074, NAMERICA 
-150,68, ELEV ,1146,1189, NAMERICA 
-150,68.5, ELEV ,1120,559, NAMERICA 
-150,69, ELEV ,1095,312, NAMERICA 
-150,69.5, ELEV ,1070,190, NAMERICA 
-149.5,65, ELEV ,1294,305, NAMERICA 
-149.5,65.5, ELEV ,1270,325, NAMERICA 
-149.5,66, ELEV ,1245,152, NAMERICA 
-149.5,66.5, ELEV ,1220,633, NAMERICA 
-149.5,67, ELEV ,1195,938, NAMERICA 
-149.5,67.5, ELEV ,1171,1043, NAMERICA 
-149.5,68, ELEV ,1146,1548, NAMERICA 
-149.5,68.5, ELEV ,1120,721, NAMERICA 
-149.5,69, ELEV ,1095,345, NAMERICA 
-149.5,69.5, ELEV ,1070,152, NAMERICA 
-149,65, ELEV ,1294,179, NAMERICA 
-149,65.5, ELEV ,1270,301, NAMERICA 
-149,66, ELEV ,1245,152, NAMERICA 
-149,66.5, ELEV ,1220,545, NAMERICA 
-149,67, ELEV ,1195,870, NAMERICA 
-149,67.5, ELEV ,1171,1121, NAMERICA 
-149,68, ELEV ,1146,1263, NAMERICA 
-149,68.5, ELEV ,1120,698, NAMERICA 
-149,69, ELEV ,1095,312, NAMERICA 
-149,69.5, ELEV ,1070,122, NAMERICA 
-148.5,65, ELEV ,1294,376, NAMERICA 
-148.5,65.5, ELEV ,1270,359, NAMERICA 
-148.5,66, ELEV ,1245,142, NAMERICA 
-148.5,66.5, ELEV ,1220,332, NAMERICA 
-148.5,67, ELEV ,1195,864, NAMERICA 
-148.5,67.5, ELEV ,1171,1050, NAMERICA 
-148.5,68, ELEV ,1146,1473, NAMERICA 
-148.5,68.5, ELEV ,1120,826, NAMERICA 
-148.5,69, ELEV ,1095,366, NAMERICA 
-148.5,69.5, ELEV ,1070,176, NAMERICA 
-148,65, ELEV ,1294,555, NAMERICA 
-148,65.5, ELEV ,1270,610, NAMERICA 
-148,66, ELEV ,1245,135, NAMERICA 
-148,66.5, ELEV ,1220,251, NAMERICA 
-148,67, ELEV ,1195,694, NAMERICA 
-148,67.5, ELEV ,1171,867, NAMERICA 
-148,68, ELEV ,1146,1256, NAMERICA 
-148,68.5, ELEV ,1120,1216, NAMERICA 
-148,69, ELEV ,1095,542, NAMERICA 
-148,69.5, ELEV ,1070,163, NAMERICA 
-147.5,65, ELEV ,1294,603, NAMERICA 
-147.5,65.5, ELEV ,1270,718, NAMERICA 
-147.5,66, ELEV ,1245,152, NAMERICA 
-147.5,66.5, ELEV ,1220,254, NAMERICA 
-147.5,67, ELEV ,1195,711, NAMERICA 
-147.5,67.5, ELEV ,1171,972, NAMERICA 
-147.5,68, ELEV ,1146,1226, NAMERICA 
-147.5,68.5, ELEV ,1120,1426, NAMERICA 
-147.5,69, ELEV ,1095,776, NAMERICA 
-147.5,69.5, ELEV ,1070,207, NAMERICA 
-147,65, ELEV ,1294,687, NAMERICA 
-147,65.5, ELEV ,1270,674, NAMERICA 
-147,66, ELEV ,1245,152, NAMERICA 
-147,66.5, ELEV ,1220,159, NAMERICA 
-147,67, ELEV ,1195,457, NAMERICA 
-147,67.5, ELEV ,1171,820, NAMERICA 
-147,68, ELEV ,1146,1229, NAMERICA 
-147,68.5, ELEV ,1120,1389, NAMERICA 
-147,69, ELEV ,1095,857, NAMERICA 
-147,69.5, ELEV ,1070,213, NAMERICA 
-146.5,65, ELEV ,1294,799, NAMERICA 
-146.5,65.5, ELEV ,1270,454, NAMERICA 
-146.5,66, ELEV ,1245,146, NAMERICA 
-146.5,66.5, ELEV ,1220,125, NAMERICA 
-146.5,67, ELEV ,1195,410, NAMERICA 
-146.5,67.5, ELEV ,1171,657, NAMERICA 
-146.5,68, ELEV ,1146,1216, NAMERICA 
-146.5,68.5, ELEV ,1120,1311, NAMERICA 
-146.5,69, ELEV ,1095,931, NAMERICA 
-146.5,69.5, ELEV ,1070,271, NAMERICA 
-146,65, ELEV ,1294,789, NAMERICA 
-146,65.5, ELEV ,1270,603, NAMERICA 
-146,66, ELEV ,1245,146, NAMERICA 
-146,66.5, ELEV ,1220,122, NAMERICA 
-146,67, ELEV ,1195,356, NAMERICA 
-146,67.5, ELEV ,1171,677, NAMERICA 
-146,68, ELEV ,1146,1050, NAMERICA 
-146,68.5, ELEV ,1120,1561, NAMERICA 
-146,69, ELEV ,1095,1006, NAMERICA 
-146,69.5, ELEV ,1070,373, NAMERICA 
-145.5,65, ELEV ,1294,816, NAMERICA 
-145.5,65.5, ELEV ,1270,508, NAMERICA 
-145.5,66, ELEV ,1245,149, NAMERICA 
-145.5,66.5, ELEV ,1220,122, NAMERICA 
-145.5,67, ELEV ,1195,356, NAMERICA 
-145.5,67.5, ELEV ,1171,671, NAMERICA 
-145.5,68, ELEV ,1146,1036, NAMERICA 
-145.5,68.5, ELEV ,1120,1300, NAMERICA 
-145.5,69, ELEV ,1095,1439, NAMERICA 
-145.5,69.5, ELEV ,1070,457, NAMERICA 
-145,65, ELEV ,1294,837, NAMERICA 
-145,65.5, ELEV ,1270,396, NAMERICA 
-145,66, ELEV ,1245,166, NAMERICA 
-145,66.5, ELEV ,1220,129, NAMERICA 
-145,67, ELEV ,1195,301, NAMERICA 
-145,67.5, ELEV ,1171,694, NAMERICA 
-145,68, ELEV ,1146,1036, NAMERICA 
-145,68.5, ELEV ,1120,1121, NAMERICA 
-145,69, ELEV ,1095,1101, NAMERICA 
-145,69.5, ELEV ,1070,410, NAMERICA 
-144.5,65, ELEV ,1294,704, NAMERICA 
-144.5,65.5, ELEV ,1270,268, NAMERICA 
-144.5,66, ELEV ,1245,132, NAMERICA 
-144.5,66.5, ELEV ,1220,139, NAMERICA 
-144.5,67, ELEV ,1195,207, NAMERICA 
-144.5,67.5, ELEV ,1171,610, NAMERICA 
-144.5,68, ELEV ,1146,965, NAMERICA 
-144.5,68.5, ELEV ,1120,1250, NAMERICA 
-144.5,69, ELEV ,1095,1236, NAMERICA 
-144.5,69.5, ELEV ,1070,237, NAMERICA 
-144,65, ELEV ,1294,718, NAMERICA 
-144,65.5, ELEV ,1270,315, NAMERICA 
-144,66, ELEV ,1245,135, NAMERICA 
-144,66.5, ELEV ,1220,135, NAMERICA 
-144,67, ELEV ,1195,268, NAMERICA 
-144,67.5, ELEV ,1171,779, NAMERICA 
-144,68, ELEV ,1146,925, NAMERICA 
-144,68.5, ELEV ,1120,1189, NAMERICA 
-144,69, ELEV ,1095,1541, NAMERICA 
